Any Fish Type, 0
Any Fruit Type, 0
Any Meat Type, 0
Any Veggie Type, 0
Apple Vinegar, 0
Bamboo Eggplant, 0
Bigfoot Pineapple, 0
Butter, 0
Cheese, 0
Chili, 0
Cream, 0
Desert Wolf Meat, 0
Flour, 0
Goblin Strawberry, 0
Golden Pumpkin, 0
Golem Watermelon, 0
Hydra Meat, 0
Lunatic Meat, 0
MSG, 0
Magic Spore, 0
Marc Meat, 0
Marina Meat, 10
Marse Tentacle, 0
Marse Tentacles, 0
Milk, 0
Mountain Celery, 0
Muka Meat, 0
Picky Meat, 0
Poring Apple, 0
Rainbow Powder, 0
Rocker Leg, 0
Salt, 0
Sauce, 0
Savage Meat, 0
Smokie Grape, 0
South Prt Carrot, 0
Sugar, 0
Swordfish Meat, 0
Vadon Meat, 0
Vanilla, 0
West Prt Tomato, 0
Yoyo Banana, 0
–, 0
